id,label,source,subject,text,char_len,token_len,subject_len,num_urls,num_emails,num_domains,num_exclamation,num_upper_tokens,keyword_hits,num_attachments,has_form_tag,has_script_tag,has_iframe_tag,has_ip_url,has_external_links
nazario_1247,1,nazario,ANZ Bank Customer Verification,"[logoanz.gif] dear customer! anz is constantly working to improve the account security of our customers. in order, to ensure the integrity and security of our online banking system, we periodically review accounts. we were unable to contact you by phone during the last check, so please verify the information at your account file and make sure it is right. please, verify your account information by following the link: [ <num> ] <url> the next verification will be done soon, invalid account information will result in your account being placed to restricted status. customer service australia and new zealand bank [ <num> ] <url> â© copyright australia and new zealand banking group limited (anz) references <num> . file://localhost/home/cmf3/tasks/salt_au_1/u1uncb/ <url> <num> . file://localhost/home/cmf3/tasks/salt_au_1/u1uncb/ <url> anz bank customer verification dear customer! anz is constantly working to improve the account security of our customers. in order, to ensure the integrity and security of our online banking system, we periodically review accounts. we were unable to contact you by phone during the last check, so please verify the information at your account file and make sure it is right. please, verify your account information by following the link: <url> the next verification will be done soon, invalid account information will result in your account being placed to restricted status. customer service australia and new zealand bank <url> © copyright australia and new zealand banking group limited (anz)",1536,238,30,4,0,2,2,6,35,0,0,0,0,0,1
nazario_2004,1,nazario,"Important Banking Service Message From Regions Bank
	Treasury Management","treasury management [image] dear the regions bank us treasury management member! our support subdivision is doing an arranged commercial banking update. by following the link below please begin the procedure of the member details verification: <url> these directives are to be sent and followed by all commercial treasury management members of the the regions usa. the regions financial corp does apologize for the troubles caused to you, and is very thankful for your cooperation. if you are not user of the regions bank usa internet cash management please ignore this email! copyright © <num> the regions bank usa commercial banking - all rights reserved. regions bank usa corporate banking login authorization procedure dear the regions bank us treasury management member! our support subdivision is doing an arranged commercial banking update. by following the link below please begin the procedure of the member details verification: <url> these directives are to be sent and followed by all commercial treasury management members of the the regions usa . the regions financial corp does apologize for the troubles caused to you, and is very thankful for your cooperation. if you are not user of the regions bank usa internet cash management please ignore this email! copyright © <num> the regions bank usa commercial banking - all rights reserved.",1353,209,72,3,0,2,4,10,14,0,0,0,0,0,1
nazario_455,1,nazario,Chase Security Measures,"chase bank is constantly working to ensure security by regularly screening the accounts in our system. we recently reviewed your account, and we need more information to help us provide you with secure service. until we can collect this information, your access to sensitive account features will be limited. we would like to restore your access as soon as possible, and we apologize for the inconvenience. why is my account access limited? your account access has been limited for the following reason(s): march <num> , <num> : we would like to ensure that your account was not accessed by an unauthorized third party. because protecting the security of your account is our primary concern, we have limited access to sensitive chase bank account features. we understand that this may be an inconvenience but please understand that this temporary limitation is for your protection. (your case id for this reason is chse04- <num> .) at chase bank , one of our most important responsibilities to you, our customer, is the safekeeping of the nonpublic personal (""confidential"") information you have entrusted to us and using this information in a responsible manner. appropriate use of the confidential information you provide us is also at the heart of our ability to provide you with exceptional personal service whenever you contact us. how can i restore my account access? please confirm your identity here: restore my online banking account and complete the ""steps to remove limitations."" completing all of the checklist items will automatically restore your account access. copyright � <num> chase manhattan bank inc. all rights reserved.",1641,259,23,2,0,1,0,1,30,1,0,0,0,0,1
nazario_360,1,nazario,Important notice from Fifth Third Bank,"why? declassify diagnose ""it just doesn't work that way. she cleaned; she cooked ambitious meals (although everything she cooked came out tasting strangely industrial, as if years of eating in hospital cafeterias had somehow corrupted any culinary talent she might once have had); each afternoon she bundled paul up in a huge blue blanket, jammed a green hunting cap on his head, and rolled him out onto the back porch. starting to drive on it. so what are you going to do now? after a moment she nodded and led them up the path to the kitchen door. to make it. he and ian had looked at each other, and ian had tried to smile, although his eyes were gemlike with unshed tears. while he was doing that, the galleys dropped out from under his arm and fell to the rug. ankle",771,143,38,2,0,1,0,1,0,0,0,0,0,0,1
nazario_407,1,nazario,Bank of America - account notification!,"it was a huge thought, awesome. arousal delicti she stopped killing around the same time she met ralph. when they turned into the driveway to reverse direction, annie rushed out and screamed at them to get off her land before she shot them for the dirty dogs they were. come on. then he would look at the blank screen of his word processor for awhile. a carpet of green forest climbed the flank of the nearest mountain. if we're left alone, i'll probably sleep right through until tomorrow morning. sitting here in front of this typewriter with its increasingly bad teeth, looking back over a period which had consisted of work rather than events, paul nodded. the penguin sitting on his block of ice was still on the knickknack table, but she had thrown many of the other ceramic pieces into the comer, where their littered remains were scattered�� sharp little hooks and shards. dia tribe",890,158,39,2,0,1,1,0,0,0,0,0,0,0,1
enron_2613,0,enron,11/30 and 12/3 DPR - update,"with all of the events of yesterday, information for the dpr for the above dates is not yet complete. at the present time, we are planning to issue a final dpr for the 30th of november as well as a preliminary and then final for the 3rd of december. however, we do not yet have an estimated time for these to be issued. i will keep you up to date when i have additional information. if you have any questions, please call me at <num> <num> <num> . best regards shona wilson director, global risk operations x39123",513,96,27,0,0,0,0,3,0,0,0,0,0,0,0
enron_2113,0,enron,FW: WorldCom Calling Card,pls confirm that you have received your new wcom calling card. thank you. carolyn graham networks llc vendor management <num>,125,20,25,0,0,0,0,2,1,0,0,0,0,0,0
nazario_2266,1,nazario,Citizens Bank and Charter One Bank Customer Service: Online Form Released! (mess_id: B5817899382D),"dear citizens bank and charter one bank customer, citizens bank & charter one bank customer service requests you to complete money manager gps client online form. this procedure is obligatory for all business and corporate clients of citizens bank and charter one bank. please click hyperlink below to access money manager gps client online form. <url> please do not respond to this email. © copyright <num> citizens financial group. all rights reserved. . hex: 0x10, 0x5, 0x1867, 0x2582, 0x895, 0x3385, 0x61487484 revision, t7f, serv, sktz, exe, file, ippe 0x9, 0x72056026, 0x44 0x064, 0x5079, 0x0190, 0x729, 0x180, 0x31758432 th1: 0x2384, 0x22, 0x90, 0x3, 0x4108, 0x47, 0x216, 0x5, 0x2430, 0x55702150, 0x1, 0x5770, 0x35, 0x67139889 update: 0x0475, 0x0884, 0x023, 0x20, 0x8172, 0x1074, 0x492 file: 0x31866304, 0x1107, 0x381, 0x965, 0x93, 0x79112341, 0x582, 0x820, 0x806, 0x36, 0x2837, 0x6999, 0x8, 0x44403214 x7x3: 0x2, 0x00, 0x503, 0x4507, 0x77349154, 0x22, 0x66, 0x9, 0x046, 0x745, 0x78, 0x9, 0x59, 0x59, 0x14277359 xamd: 0x0473, 0x1384, 0x1, 0x969, 0x2693, 0x98296884, 0x7587, 0x29785791, 0x421, 0x77, 0x90798027, 0x191 eu8z: 0x22, 0x4, 0x7, 0x90, 0x4822, 0x31900613 api: 0x63473619, 0x603, 0x09 0x0, 0x75328578, 0x83522242, 0x24644885, 0x <num> , 0x98782536, 0x1, 0x54387116, 0x28360710 interface zrow 0g00 include start rcs cc2e: 0x8570, 0x1686, 0x89, 0x0, 0x35, 0x513 update: 0x7707, 0x5262, 0x354, 0x03 g48i end c46b 0x4783, 0x1100, 0x5, 0x72, 0x6018, 0x523 y2n: 0x4, 0x36245462 0x5092, 0x990, 0x6, 0x2696, 0x6543, 0x77916683, 0x369, 0x43769524, 0x77749176, 0x7640, 0x0733, 0x14, 0x90, 0x899 0x19, 0x137, 0x151, 0x514, 0x403, 0x6793, 0x71, 0x92, 0x885, 0x45, 0x402, 0x61, 0x87 x53: 0x84 file: 0x126, 0x27649574, 0x5, 0x5 0x351, 0x49, 0x832, 0x59318486, 0x6, 0x5 c6j, common, define, zit2, mys, gk1, q3z, stack. 70rw: 0x5880, 0x89, 0x9046, 0x606, 0x37981590, 0x1094, 0x04952042, 0x04026985, 0x4512, 0x66254017, 0x33871357, 0x18, 0x41465733, 0x19044528, 0x02 rev: 0x181 0x82, 0x05308621, 0x8, 0x55, 0x7167, 0x23, 0x395, 0x1, 0x0, 0x9, 0x56287289, 0x95, 0x709, 0x209, 0x4956 wr7k, 9q5, twl, interface, 7qxb, root, root, dko, tcw. 0x93815766, 0x4, 0x2, 0x1, 0x47785044",2172,307,98,2,0,2,1,10,13,0,0,0,0,0,1
nazario_2218,1,nazario,Question from eBay Member regarding Item #175560354798,"ebay sent this message from david conner (audiohio). the registered name is included to show this message originated from ebay. learn more . question from ebay member -- respond now ebay sent this message on behalf of an ebay member through my messages. responses sent using email will go to the ebay member directly and will include your email address. question from audiohio activity with audiohio (last <num> days): - i have bid on <num> item(s) from audiohio audiohio ( <num> ) positive feedback: <num> % member since: feb- <num> location: oh, united states registered on: <url> hi, is the item still available for sale? what's the final price? please respond me now because i'm very interested in your product. respond to this question responses in my messages will not include your email address. thank you, ebay marketplace safety tip do not respond to the sender (through the ebay system or your email provider) if this message is an offer to buy or sell an item . this type of offer is against ebay policy, may be fraudulent, and is not covered by buyer protection programs. second chance offer emails with the subject of “message from ebay member” are fake . real second chance offers come directly from ebay and appear in my messages with a blue background and subject stating, “ebay second chance offer for item"". never pay for your ebay item using instant cash wire transfer services through western union or moneygram . these payment methods are unsafe wh en paying someone you don’t know.. is this email inappropriate? does it violate ebay policy ? help protect the community by reporting it . learn how you can protect yourself from spoof (fake) emails at: <url> this ebay notice was sent on behalf of another ebay member through the ebay platform and in accordance with our privacy policy. if you would like to receive this email in text format, change your notification preferences . see our privacy policy and user agreement if you have questions about ebay's communication policies. privacy policy: <url> user agreement: <url> copyright © <num> ebay, inc. all rights reserved. designated trademarks and brands are the property of their respective o wners. ebay and the ebay logo",2198,363,54,14,0,4,0,1,0,0,0,0,0,0,1
enron_3155,0,enron,DATE CHANGE - Managing Director Meeting,"this meeting has been changed from monday, october <num> to monday, october <num> . i will get back to you with the confirmed location. please contact me if you have any questions. thanks, joannie <num>",202,34,39,0,0,0,0,2,0,0,0,0,0,0,0
